力量コード  ###[skill_code]###,力量名  ###[skill_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
SKL00177,熱量制御構築（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,"媒体や印刷条件に適した熱量制御を構築できる
＜設計スキル要素＞
　・TPH熱量テーブルの構築（温度－STB　×　リボン。シート）
　・インクリボン（現行品/互換品/新規）
　・シート（現行品/互換品/新規）
　・サーマルヘッド（現行品/互換品/新規）
　・メカ構造（プラテン、リボン剥離、リボンテンション）
　・印刷条件（解像度、速度）",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 5G5SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00178,熱履歴制御構築（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,"媒体や印刷条件に適した熱履歴制御を構築できる
＜設計スキル要素＞
　・エッジ処理
　・履歴/未来処理（適切なパターン設定）
　・エッジ/履歴/未来処理の印字制御
　　（DATA/STB等ﾀｲﾐﾝｸﾞや分割による制御等）
　・影響：ヘッド、シート、メカ構造、速度、
　　　解像度、リボン等の変更",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G5SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00179,カッティング制御（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,"メカ・ハード構成及び製品要求(速度、スループット、作画品質)を満たす制御設計(方向制御、スムージング制御、カット圧制御)ができる
＜設計スキル要素＞
　・カット圧制御（DUTY-カット圧、電流FB制御）
　・ソフトランディング制御
　・方向制御
　・スムージング制御
　・製品要求（速度、スループット）
　・構造（カット幅変更、カット送り長さ、カット部構造変更）",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00180,ハーフカット制御（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,"消耗品毎にメカ・ハード構成及び製品要求(速度、スループット、作画品質)を満たすハーフカット制御設計(白抜け対応制御：熱量制御、搬送停止/再開制御、データ更新タイミング設計)ができる
＜設計スキル要素＞
・イニシャライズ
・エラー処理
・白抜け対応制御（熱量制御、搬送停止/再開制御、データ更新タイミング）",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00181,長尺データ展開処理（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,"メカ・ハード構成及び製品要求(速度、スループット、作画品質)を満たす制御設計(アウトライン塗り潰し設計、バンド展開設計)ができる
＜設計スキル要素＞
・アウトラインデータの塗り潰し基本処理
・ワークを含めた展開バッファ構成
・展開ラインと印字ラインの管理",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00182,ラベル検出システム構築（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,"ラベルの特性を理解し、目的に沿った検出システムを構築できる
＜設計スキル要素＞
・微分分散処理（アルゴリズム）
・DP調整
・センサ特性影響
・他影響（消耗品：基材・厚み・セパ・インク、識別速度）",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 5G5SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00183,Bepopシート検出システム構築（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,Bepopシートの特性を理解し、目的に沿った検出システムを構築できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 5G5SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00184,チューブ検出システム構築（文字表示）,CTG103110100,業務スキル＞ドメイン技術＞文字表示機器＞文字表示共通,SKILL_DEFAULT,0,通知しない,LM用チューブの特性を理解し、目的に沿った検出システムを構築できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 5G5SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00185,集計計算処理（事務機）,CTG103120100,業務スキル＞ドメイン技術＞事務機＞事務機共通,SKILL_DEFAULT,0,通知しない,"製品要求を満たす正確な時間計算ができる（時間丸め、時刻丸め、休憩時間、サマータイム）
＜設計スキル要素＞
・基準時刻と日付変更処理
・集計打刻パターン
・時刻丸め/時間丸め
・所定内/残業/深夜/徹夜時間帯
・休憩時間
・サマータイム
・フレックス勤務
・集計人数とデータメモリ構造",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00186,千鳥印字処理（事務機）,CTG103120100,業務スキル＞ドメイン技術＞事務機＞事務機共通,SKILL_DEFAULT,0,通知しない,"製品要求を満たすドットインパクトヘッドに合わせたフォントデータ、印字データ作成、印字制御ができる
＜設計スキル要素＞
・ドットピン制御タイミングと駆動時間
・フォントデータ作成
・印字データ展開",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G-スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00300,ロボット通信プロトコル系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,汎用シリアル通信・CAN通信・DDS通信を設計できる,,強調する,全メンバーに公開,"新技術推進部 , 00_開発本部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00301,ロボットプラットフォーム系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,C/C++、Python、Linuxをある程度理解して、ROSノードの実行環境を構築できる,,強調する,全メンバーに公開,"新技術推進部 , 00_開発本部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00302,ロボット操作系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,走行制御・姿勢制御・サーボ制御・運動学・起動計画を設計できる,,強調する,全メンバーに公開,"新技術推進部 , 00_開発本部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00197,ロボット認知系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,画像認識・点群処理・SLAMを設計できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00200,ロボット判断系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,グラフ理論、最適化、機械学習を用いて、パス生成・群制御を設計できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00303,ロボットメカニクス系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,ロボット特有の機構を設計・解析できる,,強調する,全メンバーに公開,"新技術推進部 , 00_開発本部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00304,ロボットエレクトロニクス系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,"電源回路・モータ制御回路の設計ができる
マイコンの初期設定ができる",,強調する,全メンバーに公開,"新技術推進部 , 00_開発本部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00199,ロボットアーキテクチャ系技術,CTG103130000,業務スキル＞ドメイン技術＞ロボット,SKILL_DEFAULT,0,通知しない,技術分野を超えてロボット全体の構造を設計できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"ロボチームースキル , 新技術推進部ースキル , 開発本部－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00205,ISO9001:：品質マネジメント,CTG104010100,業務スキル＞管理技術＞ISO＞マネジメントシステム,SKILL_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00206,ISO14001：環境マネジメント,CTG104010100,業務スキル＞管理技術＞ISO＞マネジメントシステム,SKILL_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00207,総合マネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,プロジェクトやフェーズの進め方・管理方法や終結方法について定義することが出来る。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00208,スコープマネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,プロジェクト目標達成に必要な工程やタスク、成果物などを明確化することが出来る,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00209,スケジュールマネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,プロジェクトの作業項目とスケジュールを計画し、進捗管理できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00210,コストマネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,プロジェクトの予算や原価などの費用を管理できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00211,品質マネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,求められる品質基準を明確にし、それを満たすための実行計画立案、品質管理が出来る,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00212,資源マネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,メンバーなどの人的資源や、機器や粗油網品などの物的資源の計画・見積・獲得・管理が出来る。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00213,コミュニケーションマネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,プロジェクト内外のコミュニケーション（情報のやり取り）を管理することが出来る。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 3G3-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00214,リスクマネジメント（PMBOK）,CTG104020100,業務スキル＞管理技術＞プロジェクトマネジメント＞PMBOK 第６版,SKILL_DEFAULT,0,通知しない,プロジェクトの進行で起こり得るリスクを予測し、管理・緩和する処置がとれる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 第2SEC－スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 5SEC-スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 3SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
